Minisector,BOT,RAI,Fastest
0,297.42065977777776,300.6454054046011,RAI
1,299.57904550982323,301.57537881212124,RAI
2,260.8453045253068,263.94765873258734,RAI
3,155.81127886611688,152.20499729042723,BOT
4,176.00123826730922,172.60165189794247,BOT
5,217.29885057471265,211.47457345242864,BOT
6,239.30940094454783,232.73892779013312,BOT
7,217.20607553366176,208.96233262603997,BOT
8,268.20561445437926,262.40330144066974,BOT
9,264.78623188405794,258.69303008243287,BOT
10,274.1897671620264,270.3328158013583,BOT
11,278.5908472149417,274.94466648990476,BOT
12,275.3190379959962,270.48211831746033,BOT
13,265.3284503735921,260.25560589662365,BOT
14,181.93648679604843,172.01210117147176,BOT
15,238.9346711922035,235.73880762165976,BOT
16,210.89694410666667,216.97875194920636,RAI
17,175.01756731512694,164.11863504668122,BOT
18,257.91289121111714,252.492100798073,BOT
19,284.1012803029411,281.9983379530729,BOT
20,260.2932536126984,260.46434400293043,RAI
21,189.47614945396356,183.5245691147937,BOT
22,255.50686835954676,254.3496786769231,BOT
23,282.1098275558046,283.6261694933098,RAI
24,293.77155798260867,295.5695344761905,RAI
25,,300.0,RAI
