Minisector,RUS,VER,Fastest
0,303.3596076238095,306.13239082857143,VER
1,151.48999878799566,162.6716506444325,VER
2,215.39604823318427,218.14796545939393,VER
3,287.4127030289947,288.010226398797,VER
4,317.6817009454682,315.4851876957143,RUS
5,316.692346486712,317.0623536136082,VER
6,159.99097724931576,185.83597595090563,VER
7,124.97367840915223,116.87510609698838,RUS
8,258.4135084497769,243.57298893476082,RUS
9,299.75714679054624,296.9601889238627,RUS
10,298.4210704457143,301.13392040522314,VER
11,136.60051076852858,139.16892653990732,VER
12,176.51283707657515,171.4203063183577,RUS
13,246.10367997598073,243.0193313564456,RUS
14,185.01211648326532,196.9194798322409,VER
15,194.13031202594945,192.44049307080996,RUS
16,195.73702794533466,198.58134170874305,VER
17,231.13929847521644,233.31345986693603,VER
18,280.3910049901982,278.19047500183933,RUS
19,297.0346538714286,294.1421094442857,RUS
20,239.95693201904845,250.24183348987015,VER
21,200.5576733867886,208.85284233171524,VER
22,189.79439182368594,182.74399989740888,RUS
23,269.99198008599296,263.3902365474044,RUS
24,310.7395209052281,301.35877998984125,RUS
25,318.1666666666667,310.0,RUS
