Minisector,NOR,GAS,Fastest
0,283.8767507972699,277.04848555499933,NOR
1,294.37377394885084,295.8718576635638,GAS
2,274.57380469427886,276.19967778411575,GAS
3,167.51834422243695,164.1357018444629,NOR
4,114.71280849166928,111.87574530249158,NOR
5,240.45610136861907,236.38734781084065,NOR
6,288.6861318389814,288.08672611301824,NOR
7,290.07063438863827,292.20975668420385,GAS
8,171.41017083266314,168.8068580036537,NOR
9,137.5890634965229,131.51513574583603,NOR
10,258.5399077208429,244.584767323623,NOR
11,297.2038256185085,293.57373564561544,NOR
12,296.96220764485855,298.01043976093246,GAS
13,271.8143496602881,261.65653653100253,NOR
14,284.20331626741824,283.9785402820855,NOR
15,277.4395625141185,282.39727428883117,GAS
16,234.979074715766,241.99934974676736,GAS
17,224.81132135439844,208.08829429879967,NOR
18,279.94504986766293,274.6606204586226,NOR
19,297.59025738039213,299.5470933777463,GAS
20,298.63472893219716,301.0161372952381,GAS
21,228.19726376926047,214.65772573600438,NOR
22,234.96534720670476,234.14602056491356,NOR
23,135.74041575689716,135.17320219604792,NOR
24,209.5702900776947,197.39461237026103,NOR
25,261.7187488,255.35833386666667,NOR
