Minisector,BEA,GAS,Fastest
0,295.9843333594228,278.06292610612246,BEA
1,305.42992192,299.0,BEA
2,236.37525902786598,234.4683008671605,BEA
3,115.84819315527348,120.19675977895638,GAS
4,136.0048186614478,131.30906031501857,BEA
5,257.5411320015903,240.59986553034014,BEA
6,253.18486721810902,237.29128039415875,BEA
7,122.08008441274286,130.12546128467704,GAS
8,244.1095262169412,249.0495533632834,GAS
9,248.69327389587303,250.72731217201581,GAS
10,212.67581526260503,208.52610390778324,BEA
11,149.54461768183893,139.0373745794294,BEA
12,200.28333847930094,204.91717025800764,GAS
13,263.3148949442142,249.07237289809527,BEA
14,116.4791545335587,111.0029932136388,BEA
15,180.3503987910101,196.6577557611789,GAS
16,260.7028084917513,271.09237978261876,GAS
17,309.7841495430606,309.5103140919728,BEA
18,318.72941075,322.7632576,GAS
19,322.49425546812273,325.55333338074075,GAS
20,326.3391874951111,321.1198528941176,BEA
21,189.37384436308633,207.68055444183548,GAS
22,139.48105274949626,126.75654195232188,BEA
23,183.95882745593445,186.7712412777778,GAS
24,233.50519741575891,228.02002224714795,BEA
25,258.0291658666667,,BEA
