Minisector,BOT,PER,Fastest
0,319.7487155729323,322.326756167619,PER
1,327.2125,330.58312512000003,PER
2,323.8370699936508,326.76537699894175,PER
3,167.34453977512507,168.8170391699248,PER
4,140.01978873924799,139.17861551360645,BOT
5,271.47310970289703,269.6009054144928,BOT
6,302.02810759164976,301.69079090709454,BOT
7,315.2281250666666,316.60895818666665,PER
8,249.51784271992773,258.34205132518395,PER
9,156.3597515229451,152.69152731481952,BOT
10,224.86050862983322,220.76700765714284,BOT
11,232.23747350823774,222.49409044430658,BOT
12,210.57481695792904,198.87663168786483,BOT
13,279.19873238260874,273.55698600043826,BOT
14,310.0471175136869,307.9735774251629,BOT
15,316.6817981192982,318.90833333333336,PER
16,260.91475595555556,255.95300168533333,BOT
17,215.5724509335409,210.20387385282012,BOT
18,277.9448055757576,275.9211830126614,BOT
19,308.58509902509945,309.7871723657143,PER
20,321.7124060551379,322.53211878190274,PER
21,306.2959092364648,296.5321033939394,BOT
22,219.52032028899833,209.3053725686801,BOT
23,273.5589885866329,269.4814693167702,BOT
24,306.2400794920635,306.23616753922903,BOT
