Minisector,HUL,ALO,Fastest
0,267.629513591805,279.40654191127584,ALO
1,287.1426885826241,308.8973657136616,ALO
2,285.5124792986921,296.005061478796,ALO
3,172.87003645231292,169.14155827599103,HUL
4,118.30283676773705,109.7143256999702,HUL
5,233.8730117357493,235.55564128502954,ALO
6,276.2010941561777,278.5520504629848,ALO
7,286.1798657995378,285.2451155903841,HUL
8,167.7162465049067,166.75955846019207,HUL
9,136.86246537725756,134.211966358772,HUL
10,245.66977068840572,250.8031787171632,ALO
11,278.2261776926882,284.45216812375577,ALO
12,290.32855245766217,292.65821363938574,ALO
13,272.14077644892285,276.1873679899301,ALO
14,292.5497983358393,295.92936761021934,ALO
15,296.35490424778504,299.43419715263906,ALO
16,237.87250294839995,245.90066329358072,ALO
17,213.58278197011614,212.11709229006274,HUL
18,270.75521075228244,274.53228536449734,ALO
19,294.4758598598078,300.2004382898789,ALO
20,300.7670058559283,305.47559983675575,ALO
21,221.9867154455028,226.7193762335025,ALO
22,250.733573775298,248.12234915770404,HUL
23,135.19374226879282,127.91709270307715,HUL
24,206.0026010486303,204.74203524450712,HUL
25,250.43749866666667,,HUL
