Minisector,NOR,ALB,Fastest
0,319.71333023084173,320.3838427349962,ALB
1,240.84653807147336,230.46415684489358,NOR
2,129.85030908955352,126.81555735763872,NOR
3,236.72067580739375,223.0976489473016,NOR
4,196.1231607297764,180.02400745890566,NOR
5,249.2836188221734,237.10423654043936,NOR
6,230.68742944981838,218.83908304873268,NOR
7,260.0649944886388,258.05018956576646,NOR
8,291.17905451487184,294.07590929108227,ALB
9,197.58007837365804,188.8267612086423,NOR
10,209.1558472557249,207.65842012412455,NOR
11,269.239098523498,275.9580479718103,ALB
12,216.072835099309,206.53128939623326,NOR
13,257.12716630167085,254.40524565447961,NOR
14,294.96455112546585,296.56400755301587,ALB
15,309.47342302676674,313.94854830860334,ALB
16,304.41412992151,312.45893832,ALB
17,202.9613627267475,202.21463661943537,NOR
18,263.68560196560384,261.71147205219603,NOR
19,298.5363380113572,302.5881531841365,ALB
20,310.3173429719807,324.2874997376871,ALB
21,304.28588624427886,330.84214284952384,ALB
22,156.4574531734915,144.05824103173106,NOR
23,232.6050742562018,234.48814991138585,ALB
24,289.5746377391304,295.20481526580085,ALB
25,,313.81132133191005,ALB
