Minisector,LEC,OCO,Fastest
0,287.7681305365392,289.16738056272106,OCO
1,296.0047567758576,299.47208065274174,OCO
2,282.7282965069217,280.71384165502644,LEC
3,104.70541656361192,108.99502717284054,OCO
4,226.39331031746534,219.85578369836574,LEC
5,267.192385481697,269.85572746909344,OCO
6,203.336980911558,200.92771716813027,LEC
7,159.38871406422723,160.0238387956044,OCO
8,214.47701113799792,208.13359860691233,LEC
9,226.79883998524375,213.28547295510876,LEC
10,109.47112898742688,113.46885696351477,OCO
11,225.31758465395353,223.03209423622897,LEC
12,121.66496970862585,115.63283374432403,LEC
13,220.80079951798285,214.58013420694863,LEC
14,272.3441130305787,272.1550916765368,LEC
15,209.4542572074523,215.00387731301586,OCO
16,196.18152789322315,185.75507524390025,LEC
17,252.32489399700248,248.91491993256437,LEC
18,210.47534707482433,202.3136629004762,LEC
19,180.18093529891,165.73098728556997,LEC
20,259.7247277465728,261.6991801216529,OCO
21,282.95416726417443,286.19536685764035,OCO
22,173.17454969268357,173.40580064837465,OCO
23,212.01841094353094,198.07137094618258,LEC
24,268.9467649546325,266.0618328533333,LEC
25,,280.1583338666667,OCO
