Minisector,VET,STR,Fastest
0,301.5726013252525,296.19753756536795,VET
1,323.3596716199392,325.1934704108339,STR
2,312.97687461333334,312.92392335238094,VET
3,184.53722251194532,176.01336738383725,VET
4,226.97323325856468,214.63575619460693,VET
5,206.82774486720604,198.83769108431937,VET
6,194.6950741106305,188.61320329876273,VET
7,221.7273918855254,214.28618731035823,VET
8,262.8571915434017,255.95007323738488,VET
9,262.04816219296066,251.22620008106668,VET
10,181.50474624966085,169.31628321664402,VET
11,246.60083389561905,239.07700365128204,VET
12,123.46613476132276,115.29992,VET
13,233.62747209114568,229.1436879137263,VET
14,277.0984853887446,274.76136368484845,VET
15,289.9140365316137,280.23369783112094,VET
16,213.01719339118168,197.5452003576222,VET
17,192.9636144520447,188.22086163468717,VET
18,275.07233665346314,270.7501237676932,VET
19,299.2610417066667,296.74525262814524,VET
20,311.7274438736842,308.4404219184854,VET
21,312.99073967792754,307.21072914666667,VET
22,268.124455591342,227.10593155158847,VET
23,119.78190631153855,121.87298151746958,STR
24,246.3956981218222,247.37010029629798,STR
