Minisector,VER,ANT,Fastest
0,293.57127179415204,297.18727655606455,ANT
1,305.21476330857143,310.01188326015034,ANT
2,306.00955800612047,314.6631424363991,ANT
3,183.8400800705627,181.73795362380045,VER
4,207.56010171205634,203.53305738340137,VER
5,204.41704619716714,205.74484720027283,ANT
6,265.4221967390846,268.95614331223675,ANT
7,253.37194707587878,252.06927609600604,VER
8,215.58410068108745,218.57325898922886,ANT
9,211.27662504284618,208.99917051095784,VER
10,137.5280878931813,134.44228922791763,VER
11,199.8414743325115,195.13266534256059,VER
12,186.36735389043466,187.89350224380954,ANT
13,253.22360678203523,254.9234061747152,ANT
14,181.99060983601188,169.8769757708319,VER
15,234.2235500627141,233.75526128599367,VER
16,279.37042871497584,281.9474981869944,ANT
17,291.3988465200823,292.1904933221053,ANT
18,288.42167149144757,281.74069075504764,VER
19,274.7563621670838,265.20253545385356,VER
20,267.4846153500831,262.17883794342384,VER
21,265.99344471979737,264.25070818319074,VER
22,235.56926485292385,223.05855510501587,VER
23,205.57027775415318,210.41425935142036,ANT
24,269.1423797974773,275.0881902909732,ANT
