Minisector,RUS,PIA,Fastest
0,292.0526970271445,305.39035352533335,PIA
1,301.25984269155555,321.37153781924434,PIA
2,278.7462572670162,289.0421231772522,PIA
3,106.21044486277746,111.2621080992109,PIA
4,228.62033505756648,219.34811034288703,RUS
5,271.3281043044015,270.1535462293996,RUS
6,218.91942099634102,205.09314897803637,RUS
7,167.2404583627208,163.39270052609493,RUS
8,210.8534078861772,210.60646483470632,RUS
9,213.11521853627966,220.39144872380953,PIA
10,114.78506979902814,109.9666515111723,RUS
11,228.47991645462096,232.15266768474478,PIA
12,115.12930637153991,118.1484827380995,PIA
13,225.0617390415794,226.56159065031113,PIA
14,274.35166718277435,273.4843733364933,RUS
15,223.16756342626448,202.86854241172162,RUS
16,196.0769661995477,197.927217442359,PIA
17,251.51767383619045,255.5901006190476,PIA
18,199.39837556605292,205.0957748868685,PIA
19,186.78173661700322,181.15008487996838,RUS
20,265.80260694549315,265.9391269771126,PIA
21,290.34152894569974,293.87392289117463,PIA
22,161.53585379897675,159.5416547994979,RUS
23,218.20009750494376,218.43722813790086,PIA
24,272.14431869506865,277.8718279214907,PIA
25,284.9750016,,RUS
