Minisector,VER,COL,Fastest
0,243.40965125587303,256.73572172280257,COL
1,139.7420807821131,138.84674300541533,VER
2,280.0404319040353,276.4291351777366,VER
3,308.8107269164886,310.8788863458409,COL
4,286.43489622888416,293.25591857629905,COL
5,315.3098398874074,313.99232874023926,VER
6,321.4435557861696,314.1394449378656,VER
7,313.4829764796537,308.2816403143803,VER
8,198.11539905896467,184.40612721309472,VER
9,192.7685652517203,187.103090310806,VER
10,178.81326336669588,173.82676164049042,VER
11,169.79031568843098,165.78981183416983,VER
12,240.82504665259887,243.05622547027335,COL
13,258.110362356934,261.8727502913016,COL
14,267.5723391107175,259.5488248533625,VER
15,247.09811303761083,247.68744462148325,COL
16,177.73982889108996,168.66171015052635,VER
17,188.81525902356154,185.43796950511634,VER
18,234.80864196158268,244.7304045548006,COL
19,291.40059285314567,296.2919360323115,COL
20,319.14155053592253,315.10838378857784,VER
21,303.654763658746,295.1565401985315,VER
22,280.2148214728192,279.7648560680306,VER
23,243.9859483534808,238.1685944357831,VER
24,122.82858746015414,117.21603942987511,VER
25,,230.944448,COL
