Minisector,BOT,GAS,Fastest
0,299.63077289689863,298.6203483140474,BOT
1,256.473633237357,251.2752169216159,BOT
2,206.43973042748584,199.82292435750992,BOT
3,268.2324823990324,268.130885230722,BOT
4,232.91086275808013,228.23640404574792,BOT
5,120.13894721525126,116.00348746142508,BOT
6,186.4985680945533,180.36728749863346,BOT
7,260.3335592467559,257.39588159895294,BOT
8,288.8165651824973,285.6060099335749,BOT
9,302.7560567480626,298.8504914402031,BOT
10,305.71267345222697,305.0534089212121,BOT
11,226.9065046606665,233.2799417728233,GAS
12,146.40563560298574,144.86772266532665,BOT
13,255.967326752197,257.9761641403297,GAS
14,289.86559847005424,289.55162088344304,BOT
15,300.97179482557885,299.3595023546805,BOT
16,295.5488558327831,297.2930271419501,GAS
17,271.58183491742017,263.6123067334754,BOT
18,194.57285096621126,185.62549239205453,BOT
19,194.10825103340323,193.65468774910553,BOT
20,191.01055244320315,179.6072859350381,BOT
21,252.4763853313687,250.6073916071985,BOT
22,129.62958706214403,128.6706782918477,BOT
23,197.96695056897644,190.5658832681135,BOT
24,276.4715993461131,273.8246915843096,BOT
25,,289.32916693333334,GAS
