Minisector,BOT,GAS,Fastest
0,291.04073335271374,281.98869622648067,BOT
1,312.6776295564946,297.30986540691174,BOT
2,246.92995612201287,249.41648003642857,GAS
3,120.9492373519037,123.02891679310785,GAS
4,141.97643268275573,144.5177100188381,GAS
5,253.28333040638162,252.03720632381706,BOT
6,247.991488049474,257.6654787387153,GAS
7,131.8316258557781,131.1683265640387,BOT
8,250.5979668408264,249.48371190472642,BOT
9,265.0909189877556,268.37264491594203,GAS
10,210.845919340293,217.95730453346258,GAS
11,148.5680477163646,150.32234900155703,GAS
12,223.0503266839953,215.58277890369865,BOT
13,257.46620922272496,264.487733183515,GAS
14,117.78948675847033,121.03261696967617,GAS
15,208.34033594507272,208.5913760897566,GAS
16,264.12450176598264,262.3443788196795,BOT
17,292.5170491418456,288.2272124114949,BOT
18,307.70004137062034,297.4367622259628,BOT
19,321.7264809161082,299.8,BOT
20,330.54048910173356,300.52552547472783,BOT
21,157.51327854849427,170.66835080530865,GAS
22,153.6829997155364,152.66875045036255,BOT
23,183.75862599247807,201.48600205375308,GAS
24,238.52608830591683,228.79550486148472,BOT
25,275.5208373333333,263.52083733333336,BOT
