Minisector,NOR,RUS,Fastest
0,261.47085352893544,261.3494180942203,NOR
1,133.51817734544218,134.22331234128586,RUS
2,269.11954775254486,268.5909423242713,NOR
3,311.4376052649908,309.83134021396825,NOR
4,311.3550504740135,310.6730780369358,NOR
5,318.5697863936811,321.3169882132996,RUS
6,322.4405493236364,326.42553007721847,RUS
7,322.63138014444445,328.5512137708212,RUS
8,206.7935901084543,204.14865607869336,NOR
9,206.78338295042363,197.39084656568437,NOR
10,182.38227859868888,181.35876273155947,NOR
11,175.07705791865695,167.70494646426397,NOR
12,261.15019059739797,254.61958754481566,NOR
13,279.72437348988717,279.63581574750276,NOR
14,289.9162849608211,285.0191726688373,NOR
15,275.8337330697143,283.9267440344472,RUS
16,183.713801623908,169.15766934060946,NOR
17,200.59279342886174,195.66273879334022,NOR
18,251.33790225710763,246.33404215288888,NOR
19,293.9617247294092,290.8915671867145,NOR
20,313.3696037288312,312.8599716707399,NOR
21,318.01344698181816,319.7235117661453,RUS
22,316.221627015873,318.04996997147697,RUS
23,264.7231916551661,270.51376695848205,RUS
24,115.48445805697901,116.42936013120958,RUS
25,231.36249813333333,,NOR
