Minisector,ALO,RAI,Fastest
0,293.87666282666663,304.43370949849134,RAI
1,158.771121954544,156.68596143887063,ALO
2,150.54781423074047,147.84038827716276,ALO
3,222.3687432775988,223.18198905717588,RAI
4,283.33659503542856,295.2748015873016,RAI
5,290.76433352533337,297.4453084134911,RAI
6,144.72494942012676,141.21908343466666,ALO
7,141.06778258857796,137.8726892220355,ALO
8,145.59658818358974,145.329416832,ALO
9,180.19499468902043,176.65638268916084,ALO
10,128.30786234862822,130.44039503317853,RAI
11,125.97644101812242,126.46092707772883,RAI
12,167.00983665500473,159.3830732369044,ALO
13,266.95178894528436,267.6639166976297,RAI
14,285.94947405300934,295.0472075172517,RAI
15,150.1083538012101,150.94911209899865,RAI
16,210.4664284952381,212.35261193004834,RAI
17,166.6611159783429,159.19779044593204,ALO
18,269.33297752879275,269.0245143142494,ALO
19,293.96683336533334,296.77599991466667,RAI
20,308.0400432900433,310.2694652172537,RAI
21,316.77228271304347,320.05013557864294,RAI
22,319.6666666666667,325.78968253968253,RAI
23,323.14278337163506,335.94575129408906,RAI
24,315.39071975757577,340.7193182060606,RAI
25,312.3208330666667,342.32499946666667,RAI
