Minisector,VER,SAI,Fastest
0,276.1631768911977,275.8292324088259,VER
1,293.9612135670991,295.23889148380954,SAI
2,231.59789792420912,229.75098537295543,VER
3,114.48743845626315,116.10175106958312,SAI
4,130.37340284342164,125.56720721277246,VER
5,245.0577537142457,244.6491514788978,VER
6,253.75824914133332,249.93880481427595,VER
7,123.80514301516864,121.68428723299895,VER
8,242.60808683521736,240.803737156022,VER
9,257.11014918521556,243.32021259988872,VER
10,211.0238971519951,206.66283735938245,VER
11,141.1290589872239,138.96455537196917,VER
12,199.98099467494646,192.14751927750893,VER
13,258.4628580717745,258.3365314089546,VER
14,113.0643510298298,113.78878501406821,SAI
15,187.4494057496255,177.95654010410792,VER
16,253.15852848179787,254.29807916848685,SAI
17,285.22230755086514,284.67556010015585,VER
18,298.78996305160507,298.6996458506266,VER
19,304.93717535584415,305.7207878734123,SAI
20,307.40503475555556,309.3693218614379,SAI
21,176.80228691196726,161.74792469896656,VER
22,138.0516396517361,157.91152358962287,SAI
23,196.07928824482815,192.44472645736303,VER
24,230.0735899697163,231.83087998408305,SAI
25,262.0250016,262.8500032,SAI
