Minisector,RIC,ALB,Fastest
0,237.56488069596648,231.40320209212675,RIC
1,283.913571072,282.40658456903697,RIC
2,297.95394273524744,296.9020238751813,RIC
3,305.61818841043475,302.0752893925926,RIC
4,255.28802293086687,261.05177059787496,ALB
5,171.03420627772357,166.11199036201637,RIC
6,264.27771146808533,261.870999844112,RIC
7,283.7213093973333,278.4707542299404,RIC
8,212.2112084985034,211.97829069232512,RIC
9,225.87968642380952,219.08062579015478,RIC
10,179.08061042666665,184.9995179744931,ALB
11,228.32652129160886,224.65393720816192,RIC
12,200.1538198814815,206.0888065015873,ALB
13,208.478617551393,213.70557782026626,ALB
14,221.03451814761905,221.86544816105112,ALB
15,179.16738393210665,181.24978028249788,ALB
16,249.22333149328853,245.15908951309513,RIC
17,288.2941837444444,286.6693678124542,RIC
18,301.59227997975904,297.24412767041036,RIC
19,292.0852356034973,283.4285268512821,RIC
20,130.31839360761307,132.10435785322892,ALB
21,150.92760897667634,167.4615859607417,ALB
22,156.4808233733448,142.58995837788063,RIC
23,201.87379234738702,209.3300505662745,ALB
24,150.90838655995344,144.36256522278495,RIC
25,,179.79444195555553,ALB
