Minisector,HAM,COL,Fastest
0,298.37089667540783,287.7789115203475,HAM
1,306.3542823407408,294.07896817777777,HAM
2,242.37439470419014,232.13860944124033,HAM
3,121.10864917267364,114.79224008244574,HAM
4,136.9792549591702,139.70989590426868,COL
5,253.99942829555553,258.92554058264403,COL
6,259.8513645906418,243.86208683050316,HAM
7,127.162609117771,130.4178715049273,COL
8,241.0930678168116,246.26682573921119,COL
9,248.65297930433863,249.33903744996334,COL
10,212.84072773931467,199.0299955193387,HAM
11,141.7055988630088,143.55682996369433,COL
12,202.45767644,201.63826111975737,HAM
13,256.78743688971196,247.09367633593854,HAM
14,115.74179309492031,113.01033298186222,HAM
15,185.01598895981112,188.16293278312594,COL
16,264.82394577535354,266.8744583258874,COL
17,305.9788617529514,308.7583586120083,COL
18,318.22731240319615,322.75508396510713,COL
19,311.2785498263036,320.13450376727275,COL
20,305.8382517734336,312.2348096487619,COL
21,168.34784298876053,161.35841972531358,HAM
22,139.46078605823732,154.79099544041077,COL
23,188.9021805857611,183.5429495029841,HAM
24,238.8470909183418,244.69824249824396,COL
25,281.7,,HAM
