Minisector,NOR,LEC,Fastest
0,257.12821594525565,252.50074988543182,NOR
1,215.21088249915928,212.0258958237437,NOR
2,211.6397770006499,202.5440922233683,NOR
3,260.53443721285385,255.18507003486212,NOR
4,274.2883250370899,265.94675467667497,NOR
5,280.1641304115942,284.29285335736887,LEC
6,167.19632385284226,159.25256554331284,NOR
7,189.89390736987698,180.43364429244627,NOR
8,268.28382299188473,265.3099492791879,NOR
9,288.84704793282907,290.4129317891674,LEC
10,295.2996126210737,301.55338536138186,LEC
11,290.29696418044887,306.44907495539394,LEC
12,116.90089127235072,113.40387848126787,NOR
13,192.7596600153604,187.099707914389,NOR
14,270.2989371672861,267.8879261972499,NOR
15,290.9640367649027,292.74128138616703,LEC
16,290.3817422081738,301.36235390024524,LEC
17,185.87000460365755,177.00747030568274,NOR
18,225.1614140538681,216.24094432381136,NOR
19,263.91535843048814,267.71472489809474,LEC
20,157.56717464494287,154.44576874494706,NOR
21,151.16534806301541,142.57405874585206,NOR
22,220.72001896159276,218.56599784402763,NOR
23,228.79895819862534,232.44835568268033,LEC
24,164.1480099044242,152.10824340553052,NOR
25,,223.85000000000002,LEC
