Minisector,HAM,ALB,Fastest
0,258.8193100741501,257.70713721405593,HAM
1,133.9223883190857,127.10383860536028,HAM
2,202.61908425023344,195.88596331851852,HAM
3,248.66071684832136,245.13293846521316,HAM
4,259.7309927292517,252.69059776703295,HAM
5,179.23343691809524,164.3458422465617,HAM
6,147.0212017652355,141.9038420224059,HAM
7,190.2306021611594,183.01389373561906,HAM
8,101.18361970883039,102.62816298659781,ALB
9,75.32594285675233,68.82162418692326,HAM
10,97.95139845149352,96.7165880107674,HAM
11,189.72326691887056,184.30533226533638,HAM
12,251.06795807392606,244.85081961142856,HAM
13,272.21246072250966,265.70733103436504,HAM
14,282.5247746361905,275.3489550888889,HAM
15,115.11712547213189,105.74001970180875,HAM
16,152.86490896315462,152.34507953894993,HAM
17,188.52797509587302,171.759582991772,HAM
18,204.6783837183063,187.92394976399984,HAM
19,219.49275060201222,200.5081113050505,HAM
20,136.40413954878306,135.73498384496324,HAM
21,112.2814204121817,98.71461303874113,HAM
22,101.54572690903429,103.42279469603216,ALB
23,198.71575752842713,202.99755345148205,ALB
24,251.43530652012927,251.60959039617623,ALB
25,267.6714276571429,,HAM
