Minisector,RUS,ALB,Fastest
0,304.6183903554019,307.81669226832895,ALB
1,238.07478095853776,228.61515390327057,RUS
2,138.9825294701376,138.85782641503107,RUS
3,224.03153418852463,223.88308573930456,RUS
4,172.41265335721167,164.21981303285813,RUS
5,171.37311462737253,178.5194071274972,ALB
6,253.43584973565768,255.531044287121,ALB
7,281.01513286989933,283.02411624390925,ALB
8,288.8030748406417,289.5660589733333,ALB
9,260.3874786277477,261.23836314939683,ALB
10,245.97462988248353,246.5680699665797,ALB
11,242.05880067389867,243.19041083597884,ALB
12,215.37958690701794,204.64030765286006,RUS
13,125.8055824068138,125.80895202598678,ALB
14,140.99464350598444,138.74783485704782,RUS
15,169.6489257720656,170.34091728929673,ALB
16,245.90446358687828,254.63527515511996,ALB
17,241.131653258836,246.43811421902572,ALB
18,114.6105854647595,111.17724284936419,RUS
19,196.3378884846804,198.38862836016997,ALB
20,201.11606880883718,196.20839927990556,RUS
21,238.29884276680272,239.3160200376099,ALB
22,268.81957683595476,277.4474093972543,ALB
23,286.4622395733333,299.23372202666667,ALB
24,298.66953865904765,315.62827356952386,ALB
25,303.33249983999997,,RUS
