Minisector,RIC,TSU,Fastest
0,288.75338387473295,304.0427796935818,TSU
1,295.72028985507245,318.01031761269843,TSU
2,284.6319938285714,289.02074827542936,TSU
3,113.23746035011776,108.84134578536396,RIC
4,221.3051087462287,228.28170664515002,TSU
5,275.35437829828294,287.15750136935355,TSU
6,220.51639624946236,220.50596199560493,RIC
7,157.17986583092755,156.69677099677617,RIC
8,209.25493087045228,206.4051745304192,RIC
9,215.33669388387096,215.60442713333333,TSU
10,118.79903011851117,118.24325136587137,RIC
11,230.16240769556103,229.26900923543383,RIC
12,125.69208814286976,123.88347368993024,RIC
13,226.268535245977,222.24563628698414,RIC
14,279.4918733463548,278.43844306031747,RIC
15,223.4825778285714,217.6177854354394,RIC
16,188.4823179811278,192.3905455135069,TSU
17,246.63422605714285,251.3929032908425,TSU
18,205.42753949415805,205.77982032421988,TSU
19,176.7421057122807,178.67529821421337,TSU
20,262.9164670748079,262.64078042486506,RIC
21,285.18985497971016,288.5893119072464,TSU
22,176.25227993225297,175.36682964519994,RIC
23,211.5632486242071,214.2854851096774,TSU
24,271.1245035962846,269.48442482936133,RIC
