Minisector,RIC,STR,Fastest
0,267.9430051050273,266.8559150733933,RIC
1,228.56217187061472,272.019241131815,STR
2,109.6599324264106,120.28488105321112,STR
3,178.72484525641963,154.66586409018709,RIC
4,174.2087575861824,185.2777183785058,STR
5,211.56437422821938,195.30095716443273,RIC
6,265.8887319723426,265.2392827222039,RIC
7,278.1983004491228,284.05109822704355,STR
8,178.417821938093,195.6034722002721,STR
9,139.64605764094458,128.48174641624462,RIC
10,129.6264156025939,119.03742806045716,RIC
11,190.18604460919946,174.53126781159787,RIC
12,206.27860140913813,225.82581588409812,STR
13,124.48694042041122,127.5161588662684,STR
14,141.93313602242438,151.42166232306036,STR
15,118.12268359998808,113.4545998220903,RIC
16,245.1985925953692,245.04139294217606,RIC
17,134.4639665585316,154.35209876170975,STR
18,192.43925169509515,179.16275136630543,RIC
19,120.004130923468,131.28762267698983,STR
20,123.80248365801368,129.85380990004106,STR
21,113.17011673512887,114.83427935019036,STR
22,134.64771441641005,129.67502390835432,RIC
23,209.8528123828259,213.8585304671605,STR
24,226.4528624404152,214.799815167254,RIC
25,254.82954472727272,251.96428571428572,RIC
