Minisector,LEC,HUL,Fastest
0,304.8090248999619,312.2021973267034,HUL
1,138.0252620121022,142.1566376529995,HUL
2,213.0371762587199,210.41973281333796,LEC
3,278.05289656261874,272.1125388876951,LEC
4,319.5583647129252,310.4415051435585,LEC
5,318.97989964083456,315.5987457281946,LEC
6,147.37749670097335,149.64176407544466,HUL
7,243.29984345212625,244.9430429479651,HUL
8,114.89789075697031,122.24349949522092,HUL
9,140.2938104309179,136.96008572523667,LEC
10,273.3514478040381,265.73878491929577,LEC
11,300.06482128979593,295.7828270490043,LEC
12,252.18025204370005,281.0159673429333,HUL
13,159.79910896146924,145.58990946528786,LEC
14,271.0959420176281,266.83429922899944,LEC
15,308.7943583631078,302.9035726247094,LEC
16,327.3464079622161,320.07286996679875,LEC
17,337.6181855552532,327.4051357079365,LEC
18,348.0544197371429,333.71219541125544,LEC
19,349.65136271879703,332.874542852987,LEC
20,211.3717360500022,272.20710901643736,HUL
21,152.06412597270224,139.3168460344753,LEC
22,270.1147018899549,264.6777956593756,LEC
23,312.2321499830303,306.37261905066663,LEC
24,328.02972219555556,322.52053859670997,LEC
25,,322.72421854,HUL
