Minisector,PIA,RUS,Fastest
0,297.5119199927746,293.0363146577778,PIA
1,170.5059265722546,182.7785170512221,RUS
2,175.48174109373932,177.6093071883824,RUS
3,252.95768725394285,254.40618434650213,RUS
4,288.39125351339254,284.39000699118924,PIA
5,253.58724090510802,244.81838810408806,PIA
6,233.62216212453134,229.50289136326532,PIA
7,157.398032446749,159.27521939741678,RUS
8,229.30860568435767,224.12594705306043,PIA
9,283.7347807047619,277.29444321622157,PIA
10,305.1311377750932,300.2754666061327,PIA
11,314.53563180440125,309.96598629892065,PIA
12,319.4846198269006,314.0665159337102,PIA
13,317.5215765982547,310.7742843326984,PIA
14,124.19838569530837,128.70474663757346,RUS
15,117.53197088204112,120.62809737940582,RUS
16,103.87297407637402,102.72620000714409,PIA
17,237.2980524051777,232.6847827498035,PIA
18,286.26661828848484,283.15298736040097,PIA
19,305.3883286030382,303.4184799684177,PIA
20,315.19712907402317,313.03878183683213,PIA
21,316.80897609916855,314.4320037993651,PIA
22,122.84793037376956,131.4019577786808,RUS
23,212.00121311181022,208.11802872666027,PIA
24,271.80091471179577,270.43997527314286,PIA
25,286.9124992,,PIA
