Minisector,HAM,STR,Fastest
0,302.4023579608894,319.2011054367347,STR
1,160.62861754139195,160.81107572032522,STR
2,160.53534404472313,194.61385833736986,STR
3,214.7302578605725,156.45444467988278,HAM
4,281.71626052294374,276.4173621333333,HAM
5,295.0666797889054,307.40703466589974,STR
6,153.86618197218223,158.52934346542588,STR
7,142.57633234924538,133.3625908105029,HAM
8,156.6866845555949,192.71640628368698,STR
9,168.13574491045637,124.59799275664369,HAM
10,135.342967427839,167.1440372987101,STR
11,127.7271365367481,130.87178584419095,STR
12,154.95912974874688,121.50683966181995,HAM
13,262.8545967209065,249.45858197025908,HAM
14,287.62632576969696,284.0138119334434,HAM
15,153.39047416470083,203.38234089097935,STR
16,215.88378244871865,164.86146790768336,HAM
17,161.5256425408678,153.26235642170542,HAM
18,264.2981737290207,247.15011959688897,HAM
19,290.04734865454543,291.8305073354539,STR
20,303.8513425070578,304.9557537015873,STR
21,312.7883333333333,319.91374976000003,STR
22,318.19166679365077,327.87789863420085,STR
23,322.82895829333336,340.0407892210526,STR
24,319.74452958911564,339.2646992523561,STR
