Minisector,HUL,GAS,Fastest
0,276.33496178552076,279.0706286474424,GAS
1,299.62548045128204,301.11694449777775,GAS
2,311.5976562,312.10169110812916,GAS
3,319.2404761904762,319.46888888888884,GAS
4,324.68621792820517,324.15659340659346,HUL
5,322.67435897435894,326.4186109866667,GAS
6,213.71122814891777,188.52806240157707,HUL
7,105.89847717491621,103.10896114216449,HUL
8,194.6704204892707,189.4876899878788,HUL
9,269.03532896806723,268.55046364444445,HUL
10,293.70952380952383,296.9590353330831,GAS
11,159.59976567699135,149.7146942095238,HUL
12,100.26368583857784,95.96825217642315,HUL
13,118.1858011946694,119.01989433182958,GAS
14,221.86258992761904,218.93001024468163,HUL
15,186.7818404166357,182.35294616243414,HUL
16,226.52812620490914,213.7993952120496,HUL
17,176.22901378725575,172.86398355444322,HUL
18,243.80482498245615,240.7816116130326,HUL
19,282.57936472380953,281.99479253333334,HUL
20,244.91567247866993,238.40558783533083,HUL
21,145.40793788077357,140.61194237741378,HUL
22,100.07056171214664,95.47203099775659,HUL
23,129.35643466997698,121.67556175213603,HUL
24,232.5859483983166,234.94732329142857,GAS
