Minisector,RIC,NOR,Fastest
0,319.0270186136646,323.27377531049916,NOR
1,326.11136373333335,326.53958332121215,NOR
2,322.2665631072464,322.36136378181817,NOR
3,193.3140869175101,199.35076321187304,NOR
4,116.4502825633475,115.83246220339517,RIC
5,264.7125501590819,267.4828997123643,NOR
6,300.8456931097432,304.47331614634635,NOR
7,311.88876823188406,315.3447464347826,NOR
8,274.8883319933509,277.7711205313269,NOR
9,139.39541771573892,140.35929599394385,NOR
10,221.6054244235518,218.12999090999284,RIC
11,216.15252539879634,207.72612891434224,RIC
12,192.6915492778303,192.57576738245615,RIC
13,266.24856215123225,269.71498555367737,NOR
14,303.4730869238572,307.2625773581781,NOR
15,311.7875517283644,323.2529810591721,NOR
16,259.08684452037437,263.2294110137566,NOR
17,205.3925887207934,198.380324777669,RIC
18,271.39559370282694,272.5965381813051,NOR
19,305.9310039850932,309.30941670273893,NOR
20,318.8538823566912,323.3698862060606,NOR
21,307.9493064888889,303.8848972888889,RIC
22,206.86811400293732,200.45095554202987,RIC
23,262.9901779047619,265.69597040878864,NOR
24,300.03869608766496,305.0250543281404,NOR
25,293.1499968,,RIC
