Minisector,VER,GAS,Fastest
0,256.07129795555556,254.77754554074076,VER
1,133.34325655851507,128.83396971077792,VER
2,199.37145525333332,200.95000175238096,GAS
3,246.59772115513138,248.80800053335696,GAS
4,258.16093786666664,261.5173414806349,GAS
5,186.01941822524086,178.36772957441812,VER
6,148.87088707772384,142.9623373608642,VER
7,184.88436166393154,186.57983217628416,GAS
8,104.62414544708099,104.67042133726463,GAS
9,78.80823169201705,78.45897922501088,VER
10,95.80596333327723,94.640934723183,VER
11,178.3522205387133,183.16634218528137,GAS
12,245.1013822008274,248.45395792002319,GAS
13,262.20868985904764,270.9733340444444,GAS
14,262.66139701490556,269.2517024166291,GAS
15,119.85051417426209,111.96781056141863,VER
16,141.8949575374603,147.2606107421355,GAS
17,194.1988765018619,191.7848386340999,VER
18,200.95687306666667,198.64750787756228,VER
19,219.04407938245618,208.21437525333332,VER
20,133.61591366603122,131.8716773222366,VER
21,119.85919240942854,114.37449543567213,VER
22,94.44349421695948,91.62760420634106,VER
23,195.50634681904762,195.70233242476257,GAS
24,249.2865179607843,249.69019672380952,GAS
