Minisector,BOT,ALO,Fastest
0,288.6481477671957,283.98519198154884,BOT
1,301.4077888566477,295.4755280166233,BOT
2,306.0294486990909,299.5453636213103,BOT
3,307.624181647619,299.8506365464346,BOT
4,183.87114710147623,182.3311026085714,BOT
5,207.16589321224774,211.6905955367954,ALO
6,242.8500004254476,239.2387182165632,BOT
7,266.90895906967415,263.94399276110136,BOT
8,280.94428319854785,271.70807178601495,BOT
9,170.35585174554535,161.4667552526091,BOT
10,230.43127863547818,227.14271697706465,BOT
11,146.39471164420016,142.46625597818672,BOT
12,220.35894659808562,220.6820555657749,ALO
13,213.60945893191797,207.79803861211008,BOT
14,207.30330162056418,205.83293280949874,BOT
15,250.90189791120537,251.0111672630213,ALO
16,262.0248898274342,258.28155433828016,BOT
17,284.12260308855224,279.2184835190514,BOT
18,168.3916873173605,158.19603952284848,BOT
19,146.18616166687622,152.35741477233373,ALO
20,146.63510258484263,140.91368026235637,BOT
21,173.2110557158988,167.9943893591398,BOT
22,120.85923568040972,119.51460174325481,BOT
23,215.81642529433805,215.4775512364495,BOT
24,268.38163845445655,264.101057731646,BOT
25,,278.0499989333333,ALO
