Minisector,HAM,COL,Fastest
0,290.44648544861286,288.735670447257,HAM
1,156.15438809498406,159.8198077132678,COL
2,166.47790397758232,164.68822776041006,HAM
3,237.45686501485713,239.32608511028297,COL
4,257.03750332084036,274.6907522668078,COL
5,238.07268004656086,234.7279739305864,HAM
6,212.9944772882155,202.74415895241665,HAM
7,144.75843127475784,139.1664627654308,HAM
8,225.82407116945296,229.38713848740738,COL
9,296.52897669956707,298.8704348556204,COL
10,318.112875747997,320.29221298069905,COL
11,315.76460665644004,320.90071807368344,COL
12,310.4151007475556,312.60809527477954,COL
13,303.40797655171326,304.59678967736176,COL
14,126.64721523458212,127.87760693870311,COL
15,119.2664727122883,117.74689404276731,HAM
16,105.35091526109919,100.98114180583006,HAM
17,241.19416406383837,243.81262535827383,COL
18,303.35480848071325,304.95218580938274,COL
19,319.0553473068646,318.108473676527,HAM
20,316.0703704177778,313.91156861490197,HAM
21,311.4652781807853,310.0056679139572,HAM
22,119.06320039282284,118.71468941645429,HAM
23,200.76705801902986,203.29998412753068,COL
24,273.53777989176115,274.6549246019412,COL
25,,282.4906248,COL
