Minisector,ALB,PIA,Fastest
0,306.8020739514375,300.41137398382165,ALB
1,186.55677398369554,193.0713095675075,PIA
2,227.1411014810778,223.83570211652383,ALB
3,277.819088274882,273.15057069376985,ALB
4,222.66232500717544,224.50171313476412,PIA
5,121.97283342149167,128.6159520601709,PIA
6,201.8983610690866,209.51844385999135,PIA
7,246.10881875132088,250.05775767077267,PIA
8,218.17749403847745,240.12528048054585,PIA
9,225.05693505515876,227.579364572456,PIA
10,273.0639277925433,273.5766013418355,PIA
11,291.83395343158264,288.8755050356123,ALB
12,307.90679753390276,294.62540543425087,ALB
13,322.8335815278638,297.2486433648012,ALB
14,327.5234353446626,297.21943236942474,ALB
15,233.01886451566682,251.12493314797666,PIA
16,224.46418146100015,233.40328693264019,PIA
17,282.30070926392756,273.11563095238097,ALB
18,300.0666021077444,286.33796083538294,ALB
19,141.66239256554505,158.65274590501272,PIA
20,192.9212365200085,209.07346411305483,PIA
21,148.0312816235612,177.12847360254284,PIA
22,132.1825662057824,127.6922990346653,ALB
23,242.60498045240857,235.6278497557387,ALB
24,297.2409812733359,282.1085628361902,ALB
25,314.14285714285717,296.0249997714286,ALB
