Minisector,NOR,GIO,Fastest
0,301.10916598897967,293.7596588121212,NOR
1,320.6419484150376,305.91636737288115,NOR
2,328.98250537724783,311.38201784475405,NOR
3,325.01480081676203,310.7497807719298,NOR
4,198.29072389785472,196.34583678336307,NOR
5,224.94657465197236,219.63951834013605,NOR
6,271.1571232193404,268.5474048897473,NOR
7,269.4306897252304,272.5808451809524,GIO
8,193.25011518525346,193.26659689182594,GIO
9,155.89816897405473,159.40534415417596,GIO
10,186.25656722331078,183.30524067795838,NOR
11,263.3299683710145,260.5014487188406,NOR
12,252.80533422933334,254.5205506059636,GIO
13,231.97980183033394,226.89644969876542,NOR
14,275.7825755636364,273.757559931659,NOR
15,176.9055811367667,178.44272879457884,GIO
16,220.8206780839506,216.2913076905755,NOR
17,243.11831770151767,254.58924746463683,GIO
18,134.79733477026167,135.16036324050538,GIO
19,243.58250139770556,237.09406945641027,NOR
20,284.99668338503403,278.2055684590021,NOR
21,259.6069061158997,269.62284298450874,GIO
22,142.36284102603543,144.1791739486295,GIO
23,205.74703968489524,200.77519084248405,NOR
24,272.30335453506495,269.1347480374599,NOR
25,287.4375008,285.52499911111113,NOR
