Minisector,HUL,GIO,Fastest
0,287.39059572571426,278.38266780630437,HUL
1,218.46894556227238,219.1786042353974,GIO
2,113.83454561697941,115.3496684602634,GIO
3,201.47700705185184,197.83593800000003,HUL
4,166.62248038433864,172.62597394593556,GIO
5,229.97648858412697,225.19528804621967,HUL
6,293.3752631456996,280.1836154065163,HUL
7,315.998326,297.69289022645506,HUL
8,169.1259998866935,170.0214067169139,GIO
9,121.37036663212899,126.349338438199,GIO
10,136.51504701562703,135.88345077895838,HUL
11,203.42888363228687,196.41449988693205,HUL
12,205.96952127732055,213.69516868163953,GIO
13,131.07872138927846,133.9840926389773,GIO
14,142.90100810548793,146.74816711631755,GIO
15,132.64791530832937,130.66810061003457,HUL
16,268.0462497066667,257.1620830933333,HUL
17,131.8135704647619,138.97413558857141,GIO
18,206.52743293271834,207.22794462734703,GIO
19,124.4204921460603,130.17285772960682,GIO
20,144.45116184938647,146.91964771498462,GIO
21,125.40747198007111,122.743654808612,HUL
22,155.2941704727885,150.0493862857143,HUL
23,219.52800007051215,215.37368295245258,HUL
24,237.7379871792208,236.1434265706004,HUL
25,,265.2166698666667,GIO
