Minisector,RIC,GAS,Fastest
0,285.25318891462666,279.0190717005437,RIC
1,302.7413189483242,296.0578094994286,RIC
2,297.1689093665563,292.93116175223037,RIC
3,167.3426060977321,172.8131509786836,GAS
4,124.27367821343432,126.5821679759164,GAS
5,242.0071955038197,241.69571584574703,RIC
6,295.7953931140766,281.7486089010142,RIC
7,305.6960177030747,288.16739112848757,RIC
8,176.67837916983368,179.38636649605627,GAS
9,145.81688568452032,149.40180330663125,GAS
10,258.75343135317934,258.47440684450123,RIC
11,298.2254799253761,291.62251045849763,RIC
12,308.7541305918647,301.0885229593129,RIC
13,276.8218155664589,284.7949655091112,GAS
14,301.84543685714283,294.59817572359066,RIC
15,303.56798330723143,297.3062561581007,RIC
16,249.381300545156,257.00704025221677,GAS
17,223.53154990329452,232.79356515107577,GAS
18,287.4390006186666,278.0465620846188,RIC
19,318.9131007523051,295.49220390370624,RIC
20,332.96550283636367,298.1311013093172,RIC
21,221.00434067648033,232.0541547962154,GAS
22,258.33024746666666,262.0629903415378,GAS
23,144.62155847051406,138.2262091419446,RIC
24,225.78099626114752,229.79799918957895,GAS
25,265.44166613333334,,RIC
