Minisector,PER,HAM,Fastest
0,290.70773720474307,290.02803108810457,PER
1,168.7522717838471,161.72397885446438,PER
2,169.4308009056956,172.91668245450023,HAM
3,253.06197973190805,253.99094713634688,HAM
4,288.88089034825975,282.97447919919193,PER
5,255.3402443894346,251.22325979484884,PER
6,227.22957825800864,226.51628059654323,PER
7,153.37076327215314,151.7679249625922,PER
8,224.64164938119148,225.80443508239316,HAM
9,280.65515687860926,277.54959257981494,PER
10,300.71560709956714,296.26500636818713,PER
11,309.7414248547279,302.8733872364827,PER
12,312.4331140491228,305.74185465797825,PER
13,308.7440260796372,307.57318374472936,PER
14,139.1760674136744,134.21264774699293,PER
15,120.10754292696613,124.54337657639311,HAM
16,98.26711478037784,102.88797643492217,HAM
17,232.26674003431174,233.8267496010442,HAM
18,285.449057283958,285.6946441504974,HAM
19,310.0192933677823,303.923421870548,PER
20,319.58169451555557,312.5580320800452,PER
21,323.3860227239506,317.38946761904765,PER
22,128.547052654325,124.85252865773008,PER
23,203.2709229237839,200.2650752976321,PER
24,269.38200145463344,264.572619378882,PER
25,284.22000128,279.94000128,PER
