Minisector,NOR,STR,Fastest
0,323.27377531049916,315.47499059938804,NOR
1,326.53958332121215,322.95804224559697,NOR
2,322.36136378181817,321.2158942666041,NOR
3,199.35076321187304,197.5762342592996,NOR
4,115.83246220339517,116.70135400577685,STR
5,267.4828997123643,261.5040610464747,NOR
6,304.47331614634635,295.95256252730377,NOR
7,315.3447464347826,301.2577898202898,NOR
8,277.7711205313269,278.4865720098765,STR
9,140.35929599394385,142.25189312690148,STR
10,218.12999090999284,222.84051852229578,STR
11,207.72612891434224,209.5947065524632,STR
12,192.57576738245615,192.31471430626226,NOR
13,269.71498555367737,262.110075913933,NOR
14,307.2625773581781,296.6731664518095,NOR
15,323.2529810591721,302.4411458222222,NOR
16,263.2294110137566,264.70962374448436,STR
17,198.380324777669,195.9576412846821,NOR
18,272.5965381813051,263.10339429135803,NOR
19,309.30941670273893,297.4512156444444,NOR
20,323.3698862060606,306.90121533333337,NOR
21,303.8848972888889,299.4031248888889,NOR
22,200.45095554202987,207.3424820114286,STR
23,265.69597040878864,256.875,NOR
24,305.0250543281404,296.8926705296262,NOR
25,,308.02500053333335,STR
