Minisector,SAI,ALO,Fastest
0,279.66146274947107,275.1022994048707,SAI
1,119.11515848864153,116.14147873902515,SAI
2,159.75274521909702,143.64896655301587,SAI
3,207.66082066010054,204.77714040543367,SAI
4,156.13878479046798,158.94333185907072,ALO
5,243.83003249523813,237.10043335928222,SAI
6,206.70389105666817,225.88925556363637,ALO
7,132.8452332219901,129.336707397563,SAI
8,230.4280302914732,224.12799862615876,SAI
9,275.6118601766824,273.6781810439493,SAI
10,286.10006868705887,285.1958007260106,SAI
11,145.1332673470283,143.40922749763018,SAI
12,214.09161116460274,203.18193965383023,SAI
13,265.8669907966387,260.7052955777443,SAI
14,261.14409411241115,262.50650099200004,ALO
15,101.34007903021013,100.2595287612023,SAI
16,217.0139142587942,204.24532895809523,SAI
17,272.08131208126986,266.8494507980529,SAI
18,299.3673211387013,296.51870157164024,SAI
19,315.97168969034016,313.9514980329004,SAI
20,323.61358827554307,323.0216231771429,SAI
21,273.0693764737471,295.73014253291007,ALO
22,148.05263083056929,140.4261689779221,SAI
23,234.8862974570001,224.91626396332572,SAI
24,281.6497174841751,277.48778731830305,SAI
25,,291.29545425454546,ALO
