Minisector,RUS,PER,Fastest
0,296.4725212482951,311.07965694117644,PER
1,236.85590155767193,219.32751162546677,RUS
2,135.12382603096057,126.06331534359435,RUS
3,216.22618672620078,209.99139155868892,RUS
4,259.17110397327355,262.50704590683983,PER
5,283.4104980711111,288.0509503013273,PER
6,293.1325000147301,303.8977309390481,PER
7,270.9332217697371,259.2798070222222,RUS
8,173.7376395986134,168.86092648034477,RUS
9,234.7334543130326,242.7240735401777,PER
10,265.90986135111115,275.22895116140774,PER
11,257.62443995597886,259.4176806316544,PER
12,209.00121010250072,205.32699655777776,RUS
13,129.40210085506143,115.67332464644429,RUS
14,123.24537219919824,126.44772866109953,PER
15,159.4290864807895,163.2392193167347,PER
16,121.46489811782067,124.00610585529225,PER
17,231.86386151762576,225.46197611307633,RUS
18,176.55280945218533,167.30195077514026,RUS
19,163.14512389468564,169.81227897998357,PER
20,244.63542271435622,245.7448475030688,PER
21,269.94262298939725,276.560397192127,PER
22,283.42169328507936,292.79644362696047,PER
23,291.8290692886003,302.22773446761903,PER
24,295.72209574331026,307.0258619520635,PER
