Minisector,VER,RIC,Fastest
0,296.7139423179487,303.2053769208089,RIC
1,239.47718769934167,230.4373777882353,VER
2,133.50047061224916,131.38634314799745,VER
3,237.0284837618474,235.56065725001514,VER
4,193.66087739513475,189.56541629333333,VER
5,246.7867063718944,237.98116285860056,VER
6,235.98407722857144,221.95674388377088,VER
7,259.16743017360113,254.11570751440178,VER
8,285.5376489904762,283.8197188544788,VER
9,213.22291054124656,203.93980289122806,VER
10,205.2716970921835,199.96023838064372,VER
11,268.7024641384516,270.8844826482759,RIC
12,214.90249898891824,204.70712629844448,VER
13,253.0954804931118,250.85085842250558,VER
14,289.5360256077637,293.45762769372686,RIC
15,297.81009612307696,306.498499968,RIC
16,295.158499968,303.36565746213057,RIC
17,243.92784552249435,227.80631304321307,VER
18,268.86840635164884,272.1554371396479,RIC
19,294.4661862974359,300.0020475550476,RIC
20,302.8511217641026,303.00447525925927,RIC
21,298.1116985846154,296.8421666986667,VER
22,156.71774603834436,150.78587094113064,VER
23,234.93047240798506,238.85855373820095,RIC
24,286.74148262706024,290.8045557138198,RIC
