Minisector,BOT,HAM,Fastest
0,301.85911426666667,293.0104818062341,BOT
1,303.39831106091253,297.02574404761907,BOT
2,160.62720950673244,163.97154842532328,HAM
3,228.10379166954093,229.7029217345098,HAM
4,275.8719894530141,278.1059116414882,HAM
5,294.6372398400436,296.47509598243624,HAM
6,298.3892025785028,303.65183023114423,HAM
7,151.51725275100912,160.81012498497506,HAM
8,140.9494666738894,137.05033030612609,BOT
9,252.34709222539166,254.3046174014502,HAM
10,283.5175546427318,286.4046000432194,HAM
11,289.6166844998558,295.7705379242145,HAM
12,146.25718861048267,138.96711521788572,BOT
13,200.6652661421422,203.18768580712776,HAM
14,255.68079971667612,259.6736973186638,HAM
15,200.75456666950242,207.18467193275868,HAM
16,220.15393894936406,224.43832284379556,HAM
17,211.94381530936525,216.06354904356434,HAM
18,245.63948964496663,243.33574380686963,BOT
19,276.9048296252289,277.8031804621936,HAM
20,289.73619253663696,295.3858035804466,HAM
21,253.54970430609805,263.57446386894867,HAM
22,219.74890422992905,227.99731904471673,HAM
23,210.9448174925111,211.2237217011366,HAM
24,265.66520122358196,266.6236616719255,HAM
25,,285.1785728,HAM
