Minisector,TSU,LEC,Fastest
0,255.1169011209642,252.50074988543182,TSU
1,213.08368323260234,212.0258958237437,TSU
2,207.36925959081887,202.5440922233683,TSU
3,257.2681759394048,255.2933365719828,TSU
4,271.05395337317333,266.746754676675,TSU
5,285.8214675705887,284.56645567725445,TSU
6,162.2894058452595,159.25256554331284,TSU
7,187.43755180835893,180.43364429244627,TSU
8,267.5316624337222,265.9828846413537,TSU
9,289.22852661553304,291.09514630919284,LEC
10,299.009596762712,301.7228907280847,LEC
11,297.77527233742046,306.44907495539394,LEC
12,113.82180815115987,113.46603782230589,TSU
13,189.3703000122252,193.20448410525876,LEC
14,270.1588286543377,268.59158978880197,TSU
15,292.8366442958402,293.0548767450267,LEC
16,295.636931809393,301.42637113935007,LEC
17,184.8588086536105,177.0848133064347,TSU
18,222.0429541073889,219.95050997994042,TSU
19,265.29392451278557,268.6747248980948,LEC
20,154.3299898730708,150.80088386741036,TSU
21,147.62114388272724,144.17822533135933,TSU
22,222.90695492177056,222.78910706623546,TSU
23,233.65967348003045,223.3308875430287,TSU
24,158.34597450483662,155.93369363322225,TSU
25,228.23333119999998,,TSU
