Minisector,PIA,STR,Fastest
0,276.69786805333337,274.56225068046894,PIA
1,297.9681693881097,297.1445657859048,PIA
2,298.8135861312253,294.80568935045204,PIA
3,174.37441925358956,176.2508176486816,STR
4,118.94723244166845,116.61018292718832,PIA
5,238.63385195539394,234.95265242119825,PIA
6,282.27897606278685,280.492086059898,PIA
7,298.6317080888889,295.37001687004164,PIA
8,184.7638039452754,188.97292526007845,STR
9,144.7187463493283,147.56374762394205,STR
10,255.2849998206061,247.5113963556322,PIA
11,291.1423351209975,287.22528634962964,PIA
12,305.1365252593513,299.2298204398268,PIA
13,290.33402459447007,280.92126475926193,PIA
14,298.9018195453291,293.3977085597239,PIA
15,302.1432737834921,297.230387885965,PIA
16,268.69505676045435,252.3144685384394,PIA
17,239.71040563809524,226.35774843285714,PIA
18,281.64933515948076,275.0555100360289,PIA
19,300.9000642225245,297.11754964228436,PIA
20,307.93000039921884,300.546604312,PIA
21,252.35149865306124,241.60616828868785,PIA
22,268.59103598985973,259.77803303702365,PIA
23,138.48394211658223,147.9471796477057,STR
24,220.39794280290832,205.14410943732673,PIA
25,,256.6312512,STR
