Minisector,PER,RUS,Fastest
0,250.63803089972313,258.592259699976,RUS
1,128.70575894398368,126.99209520226549,PER
2,257.54031985401554,258.78707854008906,RUS
3,297.80522379792586,304.5576116391096,RUS
4,295.85741710512474,308.0780403492675,RUS
5,304.7141858105983,317.16328570148573,RUS
6,310.01573959969863,324.42058970812894,RUS
7,310.2651707821906,326.03683486188265,RUS
8,188.48116602081768,189.2880746099453,RUS
9,192.31042137657306,190.82044574648666,PER
10,187.45751190266375,183.7097684632344,PER
11,169.1812352451723,168.1323128628518,PER
12,249.30527602333666,247.9355791715898,PER
13,270.2669237794264,260.93891609790467,PER
14,272.1485861237732,271.4025777561097,PER
15,271.610202799093,270.2312002760427,PER
16,180.50124567609686,175.87634831209664,PER
17,177.98300647786624,182.53796784303523,RUS
18,231.9004931276551,225.41690519503697,PER
19,283.9648265358824,279.72135139121417,PER
20,305.90274386879406,305.41640773079365,PER
21,313.87750630468133,314.4179887144577,RUS
22,315.06290749655676,313.7851147493878,PER
23,258.75953294863103,256.33217983729355,PER
24,113.78669154201681,110.1608821386037,PER
25,,223.42500195555556,RUS
