Minisector,HAM,STR,Fastest
0,297.0517049212121,296.19753756536795,HAM
1,321.8294579307463,325.1934704108339,STR
2,316.12229106285713,312.92392335238094,HAM
3,191.10547381464448,176.12803502337545,HAM
4,229.0230543648352,213.14911825437704,HAM
5,217.80580552494845,199.34627887126774,HAM
6,204.53526908254895,189.04345567160206,HAM
7,220.65184345989772,210.77009531955363,HAM
8,258.6018336609524,253.56907024388948,HAM
9,264.33685604489574,252.98620008106667,HAM
10,182.29815638715493,168.9016891282175,HAM
11,244.1397233446129,237.69831766153845,HAM
12,126.99151955896353,119.27191381728396,HAM
13,232.24578077851038,226.92589471734624,HAM
14,274.8036536571644,272.9,HAM
15,284.95802269813663,281.8321988598082,HAM
16,214.26938991379402,204.47834133824887,HAM
17,194.0275018969407,182.87457800642176,HAM
18,271.7413524009319,267.2678319899154,HAM
19,295.4202001277979,295.1494192948119,HAM
20,307.65875008,307.7951246947846,STR
21,308.48583326476194,307.71918682896165,HAM
22,261.3184014222222,246.77980775384614,HAM
23,124.15553860835739,119.91407715602914,HAM
24,248.34246898390788,245.83529628444606,HAM
25,277.7000021333333,,HAM
