Minisector,RUS,ALO,Fastest
0,292.0526970271445,305.01745774500745,ALO
1,301.25984269155555,320.3596708892022,ALO
2,278.7462572670162,301.47150471707226,ALO
3,106.21044486277746,108.82921064364564,ALO
4,228.62033505756648,224.0813498473651,RUS
5,271.3281043044015,268.79441169439156,RUS
6,218.91942099634102,203.52516949955856,RUS
7,167.2404583627208,168.15816968084332,ALO
8,210.8534078861772,210.27363254300545,RUS
9,213.11521853627966,224.90618716485994,ALO
10,114.78506979902814,119.45617629850506,ALO
11,228.47991645462096,231.1273360252015,ALO
12,115.12930637153991,120.49891511062164,ALO
13,225.0617390415794,221.02099017665657,RUS
14,274.35166718277435,273.0197513586147,RUS
15,223.16756342626448,217.38326257161197,RUS
16,196.0769661995477,201.9737887529837,ALO
17,251.51767383619045,255.26179026230744,ALO
18,199.39837556605292,210.88386170894373,ALO
19,186.78173661700322,198.39110170742458,ALO
20,265.80260694549315,263.75234277626595,RUS
21,290.34152894569974,286.55455363428575,RUS
22,161.53585379897675,171.69991208978053,ALO
23,218.20009750494376,206.07668468306315,RUS
24,272.14431869506865,269.6226344886312,RUS
25,284.9750016,281.8541664,RUS
