Minisector,KVY,SAI,Fastest
0,277.6658231872129,279.72748651779284,SAI
1,254.9977899115932,241.6112927780246,KVY
2,268.5412923815416,274.1283419143341,SAI
3,285.9301496368913,290.96949863851086,SAI
4,125.46306586910717,121.34469263622398,KVY
5,207.86569270740492,210.7313845650746,SAI
6,264.8287037037037,271.75096547293776,SAI
7,285.5638945823694,305.0759879319455,SAI
8,295.4770832666667,321.67166656,SAI
9,300.10778052976684,328.59352138405853,SAI
10,287.42930751580116,290.6056563620944,SAI
11,101.0309696894762,96.57046441637486,KVY
12,218.35377570655763,226.2379755971484,SAI
13,265.12625028128804,275.5278846516609,SAI
14,272.951852028442,266.20679149689494,KVY
15,131.03852783124267,125.32601463940436,KVY
16,200.77973074540037,199.66144487513927,KVY
17,253.5202995235048,256.8552332280744,SAI
18,260.18594189955115,256.3640354807018,KVY
19,244.3108382727507,249.0732922145712,SAI
20,150.4163146566008,143.36978624980614,KVY
21,184.6679278525962,192.98843709722604,SAI
22,175.29511307887313,165.90290421207894,KVY
23,192.1613803108795,191.3809421863228,KVY
24,249.07201678294413,254.2036886561732,SAI
