Minisector,NOR,BOT,Fastest
0,284.7216871977143,286.57396796350207,BOT
1,294.0599069361879,297.5678578387825,BOT
2,299.41651508175045,301.8479765307815,BOT
3,299.65743062320985,297.4889376829348,NOR
4,196.57055603309968,185.95233262385486,NOR
5,213.2310484107592,211.44972942311426,NOR
6,263.7776918780062,261.8965232951227,NOR
7,260.3186504486957,256.33726906896396,NOR
8,192.22884179911355,181.498935364586,NOR
9,144.83580779662344,146.22633978334886,BOT
10,181.97159587950617,190.95263999849502,BOT
11,255.9781792128436,254.70444573835314,NOR
12,240.76567275336237,241.96251828749206,BOT
13,224.8630081325655,221.3429278267455,NOR
14,265.35291859058253,264.5397956631111,NOR
15,170.68852110014765,167.41271048807448,NOR
16,221.73971159030444,218.08012402402932,NOR
17,232.86099768135793,237.09380318571428,BOT
18,132.57552553720092,140.1129624344573,BOT
19,237.45766763213712,236.58102277211873,NOR
20,272.71182626291653,272.191407056,NOR
21,243.4847493193506,235.48627422849881,NOR
22,134.94336897321207,139.40466632420635,BOT
23,208.67974798304326,205.96003704994374,NOR
24,267.68330044190475,264.1680280453515,NOR
25,,278.21495374058844,BOT
