Minisector,HUL,PER,Fastest
0,267.629513591805,283.473072559213,PER
1,287.1426885826241,308.72537465649964,PER
2,285.5124792986921,285.10265144242425,HUL
3,172.87003645231292,161.2161991667661,HUL
4,118.30283676773705,118.0017159937496,HUL
5,233.8730117357493,241.83640390984144,PER
6,276.2010941561777,295.40433553512486,PER
7,286.1798657995378,298.6323669621752,PER
8,167.7162465049067,154.06729469167607,HUL
9,136.86246537725756,133.6600777399115,HUL
10,245.66977068840572,253.470574046027,PER
11,278.2261776926882,294.3875099382023,PER
12,290.32855245766217,293.2318949737252,PER
13,272.14077644892285,264.06300604521914,HUL
14,292.5497983358393,296.87658269895496,PER
15,296.35490424778504,296.58384937329873,PER
16,237.87250294839995,227.80646694614393,HUL
17,213.58278197011614,215.17617328358054,PER
18,270.75521075228244,289.20429723003457,PER
19,294.4758598598078,318.8495212388525,PER
20,300.7670058559283,311.2940635676611,PER
21,221.9867154455028,194.55222326967282,HUL
22,250.733573775298,243.27380433570673,HUL
23,135.19374226879282,126.21526084842588,HUL
24,206.0026010486303,218.57490815823104,PER
25,250.43749866666667,,HUL
