Minisector,RAI,BOT,Fastest
0,276.1204650605557,273.5326657040866,RAI
1,293.7905680753584,293.8111174343947,BOT
2,301.6098207560679,301.9672615372541,BOT
3,130.7866083078298,128.27495768674734,RAI
4,194.46322437613614,190.98346329011926,RAI
5,261.1275580105663,257.5018763857798,RAI
6,142.22402730824345,139.74321525199025,RAI
7,203.70230925831143,201.2660099011084,RAI
8,263.38291268697174,260.17454429822294,RAI
9,284.8518231333333,281.25043481826253,RAI
10,236.56821911569492,219.9213349264095,RAI
11,188.85383665808905,172.15342702117456,RAI
12,190.19947618599798,186.3139173594599,RAI
13,148.13867114297736,143.8552159682135,RAI
14,172.92635278380507,176.92309226360874,BOT
15,159.67312192112718,158.79249933077026,RAI
16,209.7768124360351,214.52450709575098,BOT
17,237.93504876109463,234.59076679792187,RAI
18,239.8059039921711,238.63084571268965,RAI
19,256.9129724991625,233.3496744052442,RAI
20,142.2492002114188,143.2473247988325,BOT
21,138.15756358713358,132.00513950217464,RAI
22,166.7348256902939,166.17946712853922,RAI
23,151.08685182581635,149.52673082150764,RAI
24,231.47848675285007,231.5294047906969,BOT
