Minisector,SAI,VET,Fastest
0,250.9516148485501,247.02824939266768,SAI
1,207.04934445471136,205.16957291786235,SAI
2,198.63551276549333,198.5917946567894,SAI
3,249.08329735937323,248.22534506771734,SAI
4,265.0445333426526,265.0704777971093,VET
5,287.06565143544356,276.0124241856277,SAI
6,163.8537723810461,159.36916084999342,SAI
7,185.1963898755799,182.76440972584274,SAI
8,268.734839552312,261.280916768254,SAI
9,302.6561443490052,286.747158692987,SAI
10,320.9136929179804,296.90661532631583,SAI
11,324.31653324907563,293.76856374720944,SAI
12,116.43038211823904,112.65060333611767,SAI
13,178.46361446446613,190.50684513651723,VET
14,266.59939486078673,264.39592012985133,SAI
15,292.8915095690236,290.2818729881552,SAI
16,300.92425600971956,290.34229191111115,SAI
17,180.04903805322417,178.19008519632024,SAI
18,220.55133895882366,210.78214158114773,SAI
19,266.66829633411015,258.84530746469784,SAI
20,150.76394499118337,153.16385060154235,VET
21,140.38599646684105,136.69908369204722,SAI
22,212.756489170282,215.6802826264316,VET
23,227.47503359945233,231.82822261398286,VET
24,156.00118630726587,151.50606143032175,SAI
25,220.83333333333334,220.83888497777778,VET
