Minisector,GAS,ZHO,Fastest
0,290.2564982412954,289.18463943962576,GAS
1,300.5311358138349,299.0530176548572,GAS
2,295.48003282337,297.416398070704,ZHO
3,190.2243417346263,192.02340708320762,ZHO
4,209.33516506024026,207.4736996923392,GAS
5,203.07252321966226,205.89068315033413,ZHO
6,263.61587202255646,263.9796486748331,ZHO
7,258.53737653024154,252.89219454984126,GAS
8,211.26129785363287,212.61596614583934,ZHO
9,211.65673651296456,214.9481277161905,ZHO
10,144.63500823968468,141.09500795624794,GAS
11,205.21696743833107,200.27384484680957,GAS
12,187.32084694326716,189.10114508219343,ZHO
13,253.07187452623322,250.39370791130162,GAS
14,181.45930433786535,182.5924860459137,ZHO
15,231.39620934714557,236.2202221867775,ZHO
16,279.4720244792381,280.4978482285714,ZHO
17,285.41227277035347,285.7887773461728,ZHO
18,275.8838807768819,275.90178015301586,ZHO
19,265.46117455085715,257.2815640568254,GAS
20,259.57806099255413,258.1950710768405,GAS
21,260.27808040550264,256.3266715239909,GAS
22,234.29392021117985,236.4036188213714,ZHO
23,207.79136376377093,209.53431306911227,ZHO
24,267.8958971388904,267.44955519457056,GAS
25,,283.0612496,ZHO
