Minisector,SAI,GAS,Fastest
0,310.85074577403503,305.0530524957464,SAI
1,219.50883152306739,222.08129272439527,GAS
2,142.9441728166616,149.84904262791767,GAS
3,220.58544955767195,221.1659025113997,GAS
4,169.85207429866665,168.83232020066973,SAI
5,172.96615046002887,170.10974429810642,SAI
6,250.76338297512459,252.29844091885715,GAS
7,278.16365123555556,277.790427145061,SAI
8,288.1060716816931,284.87655681699414,SAI
9,260.3975611629082,255.54464862048454,SAI
10,238.34347853101684,244.833515713744,GAS
11,243.9640684710686,236.99076939615549,SAI
12,201.42099746489964,201.2752958018876,SAI
13,131.23231544509508,123.59915486179692,SAI
14,134.61697848296296,135.66452532086677,GAS
15,170.77452181281308,173.61728789954992,GAS
16,252.7192892127731,247.36426370526317,SAI
17,253.90418628510213,242.05569531987302,SAI
18,114.34916163062648,115.18005334984167,GAS
19,199.082108158796,190.82625208873353,SAI
20,197.7916962548846,198.22822185874287,GAS
21,237.76516945964588,229.12387182896376,SAI
22,274.88115147089945,263.61182047602887,SAI
23,297.3509484781513,281.9769914872829,SAI
24,314.507068400538,297.73497781914006,SAI
25,320.81000064,302.4624992,SAI
