Minisector,MAG,TSU,Fastest
0,293.5486719873836,291.93988909259815,MAG
1,303.1865474342857,301.8946348552109,MAG
2,278.48645626755473,280.67648032484846,TSU
3,103.97092355702395,107.71407018849969,TSU
4,220.41636084666666,214.8843860393211,MAG
5,271.58587961984136,277.03810639294164,TSU
6,210.99164856047,206.15152001315883,MAG
7,153.0938099180124,153.52280864664223,TSU
8,214.14388550860147,203.9958087036206,MAG
9,211.03039824525447,215.06275004470095,TSU
10,108.87027341003481,111.7917463108583,TSU
11,226.60325126480038,223.46104788212372,MAG
12,117.7898784040635,111.17378590992884,MAG
13,220.0269413480635,220.7575292542338,TSU
14,275.994728636152,286.48258396998557,TSU
15,208.26839637151926,207.6873467797672,MAG
16,181.9707526289705,183.06580920707484,TSU
17,248.37609903379186,243.462451882106,MAG
18,200.27090445098796,196.00737545389356,MAG
19,171.7366655266924,168.29967758717487,MAG
20,259.7936647328423,261.922108759798,TSU
21,289.5221531689697,288.108494660659,MAG
22,168.5602011698475,166.78011846690862,MAG
23,208.82287987411138,205.9568615832749,MAG
24,271.3874955630623,273.68554370178356,TSU
