Minisector,RIC,GAS,Fastest
0,273.3778598977444,267.272000048,RIC
1,110.90254910097548,114.27629180381564,GAS
2,157.58784763265308,159.64662179490662,GAS
3,219.03172109047173,208.04540086613335,RIC
4,154.98421997848615,157.97448280725354,GAS
5,239.076768188486,237.58632285856103,RIC
6,210.8694931362963,187.66438448507935,RIC
7,129.51054131047374,133.38288643708054,GAS
8,231.59666133955494,232.9409514966082,GAS
9,274.2970512507228,273.59771009282855,RIC
10,271.500959285164,268.5176765873016,RIC
11,144.3542635613392,143.87739253381605,RIC
12,223.09435054351027,225.06857104573,GAS
13,271.7649020015999,272.6507090607149,GAS
14,255.98714950456142,266.1926292380102,GAS
15,96.57015489985923,101.97579053667219,GAS
16,231.46388693008154,219.18013768523556,RIC
17,270.04770074460146,267.2847418464918,RIC
18,290.9473793194504,288.660289880776,RIC
19,299.7197806500251,298.20452364755243,RIC
20,304.1621675873016,303.6528249059776,RIC
21,268.97813158095096,279.4060784313726,GAS
22,139.99870891118965,149.32451531477844,GAS
23,227.47075728118912,222.1139896517636,RIC
24,271.084375507496,271.88145836666666,GAS
25,285.4000011636364,278.0,RIC
