Minisector,VER,HAM,Fastest
0,248.96537203504053,261.85743969976176,HAM
1,130.74571506904428,132.0878381482539,HAM
2,263.313430202353,266.1181029934868,HAM
3,300.2224474105381,308.1028627637607,HAM
4,285.4122232444733,305.56057341177745,HAM
5,299.1978317858646,309.08496736845376,HAM
6,306.62573037831504,312.80523074056,HAM
7,308.6568517536508,315.154040738107,HAM
8,191.18900468640695,202.4963233065263,HAM
9,193.88874493463888,196.94655701949458,HAM
10,188.49817851473844,192.9437229061609,HAM
11,179.55705752706788,171.42271642541883,VER
12,256.4982778097959,255.81864195341223,VER
13,274.93680380902737,282.4883526746073,HAM
14,278.6458159080071,281.909675373545,HAM
15,269.05965913867993,281.7038590041265,HAM
16,189.39745967001406,182.1527019324239,VER
17,196.09077087754525,197.4339077031155,HAM
18,238.55612771581826,235.82424095549717,VER
19,286.300588215805,288.1355089713582,HAM
20,307.5706632393143,311.86136808885715,HAM
21,313.6654779541201,318.6988804904468,HAM
22,312.4621725873593,317.03121894179895,HAM
23,247.87704715761117,269.77727838640766,HAM
24,114.65024270579626,105.16460275172874,VER
25,225.343752,223.55833226666667,VER
