Minisector,HAM,VET,Fastest
0,260.9012340363235,262.0267045347166,VET
1,216.98621655341526,213.94202541396538,HAM
2,230.5180554451839,224.3641982373756,HAM
3,266.51239661504707,263.87166678355817,HAM
4,277.5243121978721,278.52087892794515,VET
5,222.8044425665816,232.92407201253167,VET
6,98.83723614388829,97.04005135723467,HAM
7,194.22248771330516,184.16700098693022,HAM
8,271.2752397593599,269.167177511826,HAM
9,291.52447504125183,293.673645056876,VET
10,298.3237272727058,301.06536143582116,VET
11,300.4220914865409,300.9142959780669,VET
12,116.77716310427466,119.4738974038101,VET
13,217.77767878287693,216.23412668932608,HAM
14,276.9631682120168,276.8127120297205,HAM
15,294.3930464823482,296.122006450601,VET
16,233.06964605493397,242.12659605542262,VET
17,129.93803790515793,125.0564965281907,HAM
18,156.9843343022929,153.33262707803175,HAM
19,255.63822149182445,254.72078732450044,HAM
20,169.48693139902568,164.36438857923127,HAM
21,132.62741496181397,128.95876983158516,HAM
22,208.9238695168486,206.41248957932214,HAM
23,215.65532909341914,217.40732301582605,VET
24,170.15448270202606,170.7824319598505,VET
25,,234.2166656,VET
