Minisector,GAS,ALO,Fastest
0,276.08405090309645,293.6317923641311,ALO
1,154.34636375853756,151.59169416278402,GAS
2,140.48540533699816,136.68888303955893,GAS
3,223.65626130942468,221.0967577232784,GAS
4,281.29335347936507,285.23380000000003,ALO
5,283.97458951064937,280.49583561571717,GAS
6,142.44176233651694,136.58275762045926,GAS
7,135.85639024639218,136.72686591026837,ALO
8,134.43908673029392,134.2545669593659,GAS
9,184.4110791805221,186.60068556046778,ALO
10,123.11782017474972,129.50724233748613,ALO
11,118.10932626974446,115.95556073413219,GAS
12,162.89196332033535,163.39624657833014,ALO
13,264.0971630931803,266.6954664695886,ALO
14,286.16655565155554,288.60275254949494,ALO
15,145.53199528083576,146.71139038829858,ALO
16,199.25861815534392,201.1759977631818,ALO
17,166.91387155397683,171.6506014151258,ALO
18,266.71589493671183,272.47524829868024,ALO
19,289.73598543183124,298.52264177922905,ALO
20,303.2552875838816,313.1017542545455,ALO
21,310.7366541172932,321.5717354516452,ALO
22,313.443287275353,324.6630050666667,ALO
23,316.21647728484845,326.79337504,ALO
24,313.90673094862245,321.9429834054834,ALO
25,309.26428525714283,,GAS
