Minisector,RUS,VET,Fastest
0,242.6475984644217,237.36518489244176,RUS
1,271.7682535908358,269.5606320022586,RUS
2,177.92496771008368,169.8812591192619,RUS
3,155.67872092500716,151.1508604199885,RUS
4,257.74821438802724,256.8154580843867,RUS
5,268.8202632489337,259.8366291166532,RUS
6,228.71498244962962,212.09354393074483,RUS
7,208.50378542787016,191.30017513195307,RUS
8,160.5913149664378,151.54458625413307,RUS
9,216.75209178461057,206.59775088113847,RUS
10,272.2511966672811,269.70650298110263,RUS
11,123.49083062431235,125.63373505907005,VET
12,210.6568851446276,209.0870265035715,RUS
13,269.38707160076194,267.3732698456068,RUS
14,290.03635443232326,286.0586765867113,RUS
15,298.44880952380953,295.86497493734333,RUS
16,234.68680165577533,244.04122967335283,VET
17,135.23197349089162,132.2647197871743,RUS
18,137.5732823925665,131.85439875848286,RUS
19,123.25788465162792,121.25715572652163,RUS
20,228.06253851076923,223.09207572557574,RUS
21,258.31163120765217,254.00076663301775,RUS
22,233.1879609094083,227.48439959466666,RUS
23,216.679427022281,208.429477581767,RUS
24,138.56619190932403,132.43900357859863,RUS
25,210.20000426666667,,RUS
