Minisector,HAM,RUS,Fastest
0,274.5333773209529,273.71855220242423,HAM
1,299.57956079999997,298.9434083347295,HAM
2,312.267768167619,312.7405094874074,RUS
3,318.4057417804422,320.80829561606396,RUS
4,321.0956737429302,325.1520016664704,RUS
5,322.6861111365079,314.27453796857145,HAM
6,199.05725918837027,197.59131762962963,HAM
7,107.0364613600938,103.78216891407514,HAM
8,189.7773940694171,185.46409864749282,HAM
9,262.5665657050505,257.2914153936842,HAM
10,290.62218547092436,285.1441376923459,HAM
11,158.10195080360845,161.27591417626928,RUS
12,96.5904776026822,96.18541778051025,HAM
13,112.87925760912913,115.25923782578622,RUS
14,224.68295797493732,217.25947545301588,HAM
15,184.67838749634086,178.38420175205414,HAM
16,226.8809652603509,218.47119025066667,HAM
17,178.6336200902052,173.98666704190254,HAM
18,234.50101128698412,233.03823745990425,HAM
19,278.2644261928572,281.14280433203794,RUS
20,228.51865490777033,243.18287562874457,RUS
21,142.89965716563236,143.75699312275736,RUS
22,95.4100068283111,91.70737289750527,HAM
23,122.12741599450202,123.8650244685197,RUS
24,226.4950705347973,222.48785564223604,HAM
25,257.30192196923076,,HAM
