Minisector,BOT,RIC,Fastest
0,297.42065977777776,302.2159420753623,RIC
1,299.57904550982323,302.89903628480727,RIC
2,260.8453045253068,248.31543047901235,BOT
3,155.81127886611688,156.34823141897238,RIC
4,176.00123826730922,171.9032102970271,BOT
5,217.29885057471265,215.1360424711111,BOT
6,239.30940094454783,238.23126154360313,BOT
7,217.20607553366176,213.65374029817693,BOT
8,268.20561445437926,264.4634973415685,BOT
9,264.78623188405794,259.7065555876864,BOT
10,274.1897671620264,271.41200029866667,BOT
11,278.5908472149417,270.0450520555556,BOT
12,275.3190379959962,271.85791172063495,BOT
13,265.3284503735921,271.82400192238333,RIC
14,181.93648679604843,182.34275794708995,RIC
15,238.9346711922035,234.5731344836573,BOT
16,210.89694410666667,211.6787812030722,RIC
17,175.01756731512694,167.12119601764456,BOT
18,257.91289121111714,253.52708426666666,BOT
19,284.1012803029411,284.76875352273686,RIC
20,260.2932536126984,259.6959908923077,BOT
21,189.47614945396356,185.43141624904175,BOT
22,255.50686835954676,252.59475808937728,BOT
23,282.1098275558046,281.841423277469,BOT
24,293.77155798260867,296.64564407272724,RIC
25,,301.0,RIC
