Minisector,STR,NOR,Fastest
0,297.2372303470605,314.3867853420606,NOR
1,209.34275672454513,210.58576669968255,NOR
2,225.11109243956042,224.99840095980466,STR
3,275.33324595070707,281.4485073308119,NOR
4,242.56484712695251,233.00168905295237,STR
5,129.17466887174336,125.15662691696895,STR
6,215.65743582419756,211.30183828696906,STR
7,260.36811526402346,261.5795755090683,NOR
8,252.10431497281385,243.24275596974283,STR
9,237.67274647390946,233.1451763774359,STR
10,274.525700429822,274.7129312636257,NOR
11,291.64676226449757,288.9896765596331,STR
12,304.06505959619045,305.68527874493503,NOR
13,314.1774967906878,320.28649569091345,NOR
14,316.7339777134802,325.4240846949495,NOR
15,261.4123943449205,265.65177026438096,NOR
16,246.96896094126984,245.99069930707165,STR
17,282.3695129662467,285.6178272581818,NOR
18,301.2618340092517,303.2691053258346,NOR
19,153.67748910685748,158.44357745088433,NOR
20,214.34081016648204,206.96376901681023,STR
21,190.04881638234014,185.4554016842743,STR
22,140.43429446767678,139.6227907841604,STR
23,237.31282635497837,239.19479767083342,NOR
24,278.5828581498182,294.63449841471373,NOR
25,292.04,309.08269230769235,NOR
