Minisector,ANT,RUS,Fastest
0,306.09174600380953,303.4850731006984,ANT
1,312.8286011352381,313.4861109894737,RUS
2,298.1809896612139,306.6930611428571,RUS
3,179.6723162623164,178.8064874564597,ANT
4,226.89687787260695,219.95432089057962,ANT
5,198.812158021508,201.18422642717837,RUS
6,182.2029410157279,178.66649718504743,ANT
7,207.96349673860112,206.67704085764933,ANT
8,256.6155050989899,255.4124341934424,ANT
9,257.495726143569,261.33040429758614,RUS
10,176.67609989250582,178.90654251087162,RUS
11,234.0725669608602,227.78403355884578,ANT
12,127.6445121273051,125.48420368982435,ANT
13,237.99091774157571,238.57163969530703,RUS
14,279.42916684495236,275.89675437745666,ANT
15,275.2711866968116,274.8742020550206,ANT
16,209.24040290921408,225.19886251992443,RUS
17,190.5570478610364,189.76068680098308,ANT
18,288.13995046545455,289.97247766735387,RUS
19,317.2170246899577,330.769284235013,RUS
20,316.3078732293333,345.394859038797,RUS
21,291.5804927751045,324.15218939811143,RUS
22,257.84383255948853,292.37199160625204,RUS
23,124.92041083912055,122.57128584634687,ANT
24,251.71800647064373,235.38142742650209,ANT
25,,284.1785709714286,RUS
